,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,local_lat,local_long,dest_lat,dest_long,time arround car,time arround walk,time arround bike,length arround car,length arround walk,length arround bike,time bridge one walk,time bridge one bike,length bridge two walk,length bridge two bike,location type,destination type,time bridge two walk,time bridge two bike,length bridge one walk,length bridge one bike
0,0,0,0,39.073,-77.13080556,39.06436111,-77.12802778,269.7,1411.4,476.7,2020.3,1960.3,2209.8,1403.7,697.0,1796.6000000000001,1814.1000000000001,house block,mall,1293.6,442.79999999999995,1949.5,2094.1000000000004
1,1,1,1,39.073,-77.13080556,39.06236111,-77.12625,287.9,1600.0,603.1,2290.6,2222.3,2434.3,1592.3,774.0999999999999,1972.3000000000002,2199.3,house block,mall,1420.1,519.8,2211.5,2479.3
2,2,2,2,39.073,-77.13080556,39.05755556,-77.12277778,350.3,1830.1,642.2,2976.9,2541.8,2551.9,2050.5,940.0,2608.7,3029.1000000000004,house block,mall,1878.3,685.8,2847.9,3309.1000000000004
3,3,3,3,39.073,-77.13080556,39.05386111,-77.12538889,430.3,2445.6,831.3,3693.0,3396.7,3559.6,2517.6,1027.6,3271.1000000000004,3451.4,house block,school,2355.2,773.4,3496.7,3731.3999999999996
4,4,4,4,39.073,-77.13080556,39.05447222,-77.11919444,371.4,2066.8,708.9,3342.2,2870.7,2922.5,2356.9,1101.5,3034.3,3795.6,house block,health,2184.7,847.2,3273.5,4075.6000000000004
5,5,5,5,39.073,-77.13080556,39.05441667,-77.11891667,367.2,2050.3,703.0,3319.2,2847.7,2899.5,2340.4,1095.6,3011.3,3772.5,house block,mall,2168.2,841.3,3250.5,4052.6000000000004
6,6,6,6,39.073,-77.13080556,39.05738889,-77.11919444,342.3,1798.3,660.0,2997.5,2497.7,2677.6,2091.3,1018.9000000000001,2665.5,3394.3,house block,mall,1919.1999999999998,764.7,2904.7,3674.3
7,7,7,7,39.073,-77.13080556,39.06422222,-77.12552778,278.1,1434.2,623.8,2331.0,1992.0,2454.6,1426.5,783.9,1742.1000000000001,2069.8,house block,health,1254.3,529.6,1981.3000000000002,2349.8
8,8,8,8,39.073,-77.13080556,39.05975,-77.12263889,292.9,1553.0,597.9,2568.0,2156.9,2402.5,1816.4,880.7,2283.6000000000004,2669.8,house block,office,1644.1999999999998,626.5,2522.7,2949.8
9,9,9,9,39.073,-77.13080556,39.06419444,-77.12419444,291.1,1525.9,627.2,2386.7,2119.4,2510.3,1518.2,819.5,1869.5,2199.1000000000004,house block,mall,1346.0,565.3,2108.6000000000004,2479.1000000000004
10,10,10,10,39.073,-77.13080556,39.06566667,-77.12663889,242.6,1276.4,457.9,1857.1,1772.8,2026.9,1268.7,678.3,1482.7,1482.7,house block,restaurants,1067.6,370.5,1762.0,1911.2
11,11,11,11,39.073,-77.13080556,39.06566667,-77.12663889,242.6,1276.4,457.9,1857.1,1772.8,2026.9,1268.7,678.3,1482.7,1482.7,house block,groceries,1067.6,370.5,1762.0,1911.2
12,12,12,12,39.073,-77.13080556,39.06730556,-77.12897222,214.0,1102.5,346.0,1573.2,1531.2,1638.4,1096.1,566.4,1807.4,1856.2,house block,office,1301.3,447.9,1522.3000000000002,1522.7
13,13,13,13,39.073,-77.13080556,39.06808333,-77.12886111,217.9,1030.0,362.2,1523.0,1430.6,1658.3,1014.0,582.5,1836.4,1867.9,house block,restaurants,1322.3,449.29999999999995,1408.3000000000002,1542.6
14,14,14,14,39.073,-77.13080556,39.06819444,-77.12986111,207.5,1019.3,321.0,1451.9,1415.7,1513.3,1012.9,541.4,1932.4,1984.1000000000001,house block,restaurants,1391.4,473.6,1406.8000000000002,1397.7
